,YR_MO,CALL_DATE,AGENT_ID,AGENT_NAME,TEAM_LEAD_ID,TEAM_LEAD_NAME,CALL_CENTER,CALLS,HANDLE_TIME,CALL_REGEN,CALLS_WITH_OFFER,CALLS_WITH_ACCEPT,CALLS_OFFER_APPLIED,TRANSFERS,AHT_MULTI,CALL_REGEN_MULTI,TRANSFERS_MULTI,APPLIED_PER_CALL_MULTI,BREAKAGE_MULTI
0,202002,2020-02-10 08:00:00,19,Agent_19,3,Team_Lead_3,Center_B,11,544.2996329037974,0.2090852418122846,51,46,38,7,0.22308507414692946,0.5037547694418436,0.8820436594370366,0.710272573322215,0.3956264742744241
1,202002,2020-02-10 09:00:00,37,Agent_37,10,Team_Lead_10,Center_A,8,225.7831946966568,0.7150632541573209,51,1,37,1,0.9657284038133164,0.9218091751876625,0.9017544298919659,0.7037500192214937,0.9638439102555252
2,202002,2020-02-10 10:00:00,88,Agent_88,6,Team_Lead_6,Center_A,12,158.23129054541872,0.7494621594828786,60,30,57,8,0.8421219956119698,0.9615136055418838,0.1321545277488112,0.46889508820889025,0.04819728517288069
3,202002,2020-02-10 11:00:00,7,Agent_7,10,Team_Lead_10,Center_B,8,313.21438082384714,0.9049015078679471,44,3,67,5,0.5265183516879857,0.38981458836010296,0.4871727606667844,0.24852832417345272,0.1292141366786972
4,202002,2020-02-10 12:00:00,15,Agent_15,4,Team_Lead_4,Center_B,11,591.5595490909437,0.6818989379850285,53,21,49,2,0.06565224219713506,0.523276427583777,0.6519770322713369,0.7161145619222625,0.6369520262100934
5,202002,2020-02-10 13:00:00,3,Agent_3,3,Team_Lead_3,Center_A,12,160.88282306426493,0.6426199336023162,71,8,71,6,0.30835424438685977,0.515176883530025,0.48078904194870276,0.6543784608683008,0.6437940599292403
6,202002,2020-02-10 14:00:00,98,Agent_98,1,Team_Lead_1,Center_B,11,125.82686692894643,0.9808737818132125,25,21,60,3,0.5100255925507228,0.8570276754302011,0.7582232547455696,0.5218199126842431,0.8534809922164375
7,202002,2020-02-10 15:00:00,26,Agent_26,1,Team_Lead_1,Center_B,11,482.6829580980479,0.686944863066509,57,4,36,3,0.3885241471824614,0.6891725581311475,0.4610422898745722,0.6781911834729992,0.24139612441150549
8,202002,2020-02-10 16:00:00,17,Agent_17,5,Team_Lead_5,Center_A,15,66.73597568225154,0.6973332504775812,48,74,75,4,0.11309481426697232,0.24389980807506317,0.2248256276389553,0.24727589857138943,0.6966502439121897
9,202002,2020-02-10 17:00:00,92,Agent_92,1,Team_Lead_1,Center_A,13,570.7516933158773,0.37968366249057084,5,0,84,7,0.442636955540072,0.9801576373485951,0.6636211709829146,0.8625115480143248,0.3351582745840078
10,202002,2020-02-10 18:00:00,37,Agent_37,2,Team_Lead_2,Center_B,8,104.54453423111875,0.07589180673452689,66,8,89,1,0.33240975451696275,0.7479761430199415,0.857782793721818,0.566633319326801,0.821632556111
11,202002,2020-02-10 19:00:00,90,Agent_90,3,Team_Lead_3,Center_B,8,545.1114511454216,0.7732070838251175,70,49,54,3,0.8239233634915064,0.03858980512708343,0.33177475940409995,0.018532120646462813,0.4115158532915726
12,202002,2020-02-10 20:00:00,50,Agent_50,7,Team_Lead_7,Center_B,12,550.6743965038213,0.011452758107092897,44,89,72,7,0.5517971654711649,0.7557551679612748,0.5216780180684399,0.18550888951353228,0.7697222353227386
13,202002,2020-02-10 21:00:00,92,Agent_92,3,Team_Lead_3,Center_B,12,217.28158594120313,0.11793138668604286,31,75,45,5,0.6288180062674549,0.095007659336097,0.35901426102341705,0.7442481736143136,0.5974866581037422
14,202002,2020-02-10 22:00:00,81,Agent_81,3,Team_Lead_3,Center_B,8,523.8639842764936,0.6033089088332843,59,46,60,2,0.5319923692818721,0.9694391766263675,0.6123332263579798,0.23385613944637318,0.589776089765242
15,202002,2020-02-10 23:00:00,39,Agent_39,4,Team_Lead_4,Center_A,10,529.2856367180011,0.5617278848911968,9,16,95,6,0.3803967932711161,0.2566470091426627,0.34212767315443315,0.10684720582856888,0.6482017231844742
16,202002,2020-02-11 00:00:00,74,Agent_74,4,Team_Lead_4,Center_B,8,343.99921695523574,0.41238948168858125,17,74,62,5,0.9474757404616708,0.004394008197558863,0.333210920334279,0.0428924410943744,0.42794851755460606
17,202002,2020-02-11 01:00:00,96,Agent_96,5,Team_Lead_5,Center_A,12,252.42864258592934,0.9710348703308264,44,61,61,1,0.17718561109276842,0.6656823240094938,0.5980784354487737,0.8856947586538488,0.08802018370256492
18,202002,2020-02-11 02:00:00,23,Agent_23,3,Team_Lead_3,Center_B,5,526.7204183979862,0.9568654224284832,4,35,96,1,0.9232062493893074,0.6256335636128608,0.4042407382349016,0.9279039376048768,0.19335183816230006
19,202002,2020-02-11 03:00:00,68,Agent_68,7,Team_Lead_7,Center_B,11,260.8831210718739,0.4498102316625452,11,82,36,6,0.3372023494516114,0.3106997024553222,0.8174735306507477,0.2874500981413296,0.5006915004831903
20,202002,2020-02-11 04:00:00,8,Agent_8,7,Team_Lead_7,Center_A,6,264.8746247671023,0.5603584075276805,26,23,18,7,0.3193684782728029,0.20494585824874811,0.4609114079844513,0.0006746059253662784,0.21286245543952598
21,202002,2020-02-11 05:00:00,73,Agent_73,8,Team_Lead_8,Center_B,6,179.05975616104053,0.9614065917099728,61,25,80,3,0.5402830974363932,0.15539375820940515,0.4981484833151347,0.6417416477768281,0.8689685642573006
22,202002,2020-02-11 06:00:00,14,Agent_14,7,Team_Lead_7,Center_B,7,268.976848869975,0.3436359822664461,75,68,29,4,0.2323004530789421,0.4091618195505029,0.9988545609309692,0.9261192234066492,0.1792354106457288
23,202002,2020-02-11 07:00:00,41,Agent_41,6,Team_Lead_6,Center_A,15,230.49257283103748,0.7674184364129452,58,18,96,2,0.09243512682381039,0.44228007158197524,0.8308186342699464,0.147557937354735,0.3544723762853529
24,202002,2020-02-11 08:00:00,77,Agent_77,5,Team_Lead_5,Center_A,5,288.43975082913937,0.5615963631545637,40,20,86,8,0.1017529745957052,0.4513072343481993,0.24020562141429835,0.3794725240027612,0.6874662810527807
25,202002,2020-02-11 09:00:00,45,Agent_45,10,Team_Lead_10,Center_B,12,491.1940531235744,0.06777402438327951,97,78,95,1,0.017208491667698,0.41356000782118874,0.9423064209904449,0.713945426905962,0.6683702611688183
26,202002,2020-02-11 10:00:00,96,Agent_96,10,Team_Lead_10,Center_A,10,477.7212096846956,0.1760276855602403,85,96,95,5,0.3765307455038479,0.49482604445616285,0.9025171177937584,0.04957266586509601,0.6290500650793825
27,202002,2020-02-11 11:00:00,47,Agent_47,9,Team_Lead_9,Center_B,11,95.4136461144719,0.718458884903074,75,66,79,0,0.39733928279405206,0.053618260323567535,0.029049018727768994,0.07423886873715335,0.4758206885184598
28,202002,2020-02-11 12:00:00,11,Agent_11,10,Team_Lead_10,Center_B,14,392.70063894756265,0.6507517425958474,29,8,59,8,0.9084134329215975,0.08704104754558462,0.42480286096560205,0.9388500415488992,0.7291329822738493
